t_s,firmware_version,row_type,sample_id,sensor_channel,gain,integration_time_ms,full_1,full_2,full_3,ir_1,ir_2,ir_3,vis_1,vis_2,vis_3,full_mean,full_sd,ir_mean,ir_sd,vis_mean,vis_sd,blank_mean,blank_sd,rfu,calibration_enabled,calibration_type,calibration_model,calibration_status,dilution_factor,range_min_ng_uL,range_max_ng_uL,cal_intercept_rfu,cal_slope_rfu_per_ng_uL,concentration_ng_uL,concentration_in_assay_ng_uL,pi_low_ng_uL,pi_high_ng_uL,lod_ng_uL,loq_ng_uL,lod_in_assay_ng_uL,loq_in_assay_ng_uL,result_flag,qc
"82,3",QF1-1.0.0-rc1,sample,Blank,2,max,600,9847,9847,9847,391,391,391,9456,9456,9456,9847,0,391,0,9456,0,"9961,33","1,52753","-505,328",WAHR,two_point,2-point,ACTIVE,201,,,0,"52,8333","-9,56458","-0,047585",,,,,,,,OK
"327,3",QF1-1.0.0-rc1,sample,400-2 ca. 670,2,max,600,46928,46933,46939,2696,2696,2697,44232,44237,44242,"46933,3","5,50757","2696,33","0,57735",44237,5,"9961,33","1,52753","34275,7",WAHR,two_point,2-point,ACTIVE,201,,,0,"52,8333","648,751","3,22762",,,,,,,,OK
