t_s,firmware_version,row_type,sample_id,sensor_channel,gain,integration_time_ms,full_1,full_2,full_3,ir_1,ir_2,ir_3,vis_1,vis_2,vis_3,full_mean,full_sd,ir_mean,ir_sd,vis_mean,vis_sd,blank_mean,blank_sd,rfu,calibration_enabled,calibration_type,calibration_model,calibration_status,dilution_factor,range_min_ng_uL,range_max_ng_uL,cal_intercept_rfu,cal_slope_rfu_per_ng_uL,concentration_ng_uL,concentration_in_assay_ng_uL,pi_low_ng_uL,pi_high_ng_uL,lod_ng_uL,loq_ng_uL,lod_in_assay_ng_uL,loq_in_assay_ng_uL,result_flag,qc
"40,4",QF1-1.0.0-rc2,sample,400-2 ca. 650,2,max,600,54288,54280,54281,3029,3028,3028,51259,51252,51253,54283,"4,3589","3028,33","0,57735","51254,7","3,78596","9961,33","1,52753","41293,3",WAHR,multipoint,OLS,PROVISIONAL,201,0,670,"332,595","53,0198","772,555","3,84356","760,678","784,433","7,87432","23,8616","0,0391757","0,118714",ABOVE RANGE,IMPORTED
"86,9",QF1-1.0.0-rc2,sample,125 ca. ???,2,max,600,13772,13672,13666,550,545,546,13222,13127,13120,"13703,3","59,5427",547,"2,64575","13156,3","56,9766","9961,33","1,52753",3195,WAHR,multipoint,OLS,PROVISIONAL,201,0,670,"332,595","53,0198","53,9875","0,268595","44,808","63,1671","7,87432","23,8616","0,0391757","0,118714",,IMPORTED
